Levels,Hard/Soft Data,Type,Data Collection Method,What do we want to know?,Item Stem,Anchors,,,,,,,,,,,,,,,,,,,
Level 4,Hard,Assessment/Evaluation,Survey/Questionnaire,Post-graduate status,Which of the following best describes your primary status after graduation? Please select only one of the following categories: ,Employed full-time (on average 30 hours or more per week;,Employed part-time (on average less than 30 hours per week,Employed as a professional athlete,"Participating in a volunteer or service program (e.g., Peace Corps)",Serving in the U.S. Military,"Enrolled in a program of continuing education (e.g., graduate school, certificate)",Seeking employment,Seeking continuing education,Not seeking employment or continuing education at this time,Pursuing avenues to compete as a professional athlete,Other (Please describe in text box below),,,,,,,,,
Level 4,Hard,Assessment/Evaluation,Survey/Questionnaire,Post-graduate status-stats,Please provide the following information concerning your employment.,Employing organization,Location,Job title,Annual base salary in U.S. dollars,,,,,,,,,,,,,,,,
Level 4,Hard,Assessment/Evaluation,Survey/Questionnaire,Post-graduate status-salary,"What will your annual base salary in U.S. dollars be? (Please slide to reflect salary in thousands (e.g., 70=$70,000)",0,20,40,60,80,100,120,140,160,180,200+,Don't know my salary/not comfortable sharing,,,,,,,,
Level 3 ,Hard,Assessment/Evaluation,Survey/Questionnaire,Professionals engaged with,"How many alumni, professionals, employers, or NIL connections did you have a meaningful engagement and/or build a relationship with through Program-sponsored events?",0 (Not yet),1-3,4-6,7-9,10 or more,,,,,,,,,,,,,,,
Level 3,Hard,Assessment/Evaluation,Survey/Questionnaire,Professionals providing career assistance,"From (time period), how many different professionals (where) provided you with career assistance (e.g., introduced you to another professional, assisted you with job exploration, assisted you with job application tools, connected you to an internship or job, wrote you a letter of recommendation, served as your mentor)? How did you meet them? (Options)",0,1,2,3,4,5 or more,,,,,,,,,,,,,,
Level 3,Hard,Assessment/Evaluation,Survey/Questionnaire,Professionals providing career assistance-names,Name up to three of the professionals who provided you with career assistance from (time period). ,Open-Ended 1,Open-Ended 2,Open-Ended 3,,,,,,,,,,,,,,,,,
Level 3,Hard,Assessment/Evaluation,Survey/Questionnaire,Career tasks primary-completion,Which of the following primary career tasks have you completed? Primary career tasks are the main tasks recommended prior to graduation.,Completed a career interests map or career interests assessment and identified 5 of my career interests,Identified 3 job titles that align with my interests,Joined The Golden Bear Network,Wrote a resume tailored to a position that aligns with my interests,Established a mentoring relationship with a professional (a mentoring relationship is when a more experienced person guides and supports someone for their professional growth),"Engaged in a world of work experience (a world of work experience is any opportunity that allows you to test out a particular career. Examples include job shadows, internships, short-term projects, and research positions.)","Engaged in a second world of work experience (a world of work experience is any opportunity that allows you to test out a particular career. Examples include job shadows, internships, short-term projects, and research positions.)",I haven't done any of the above just yet,,,,,,,,,,,,
Level 3,Hard,Assessment/Evaluation,Survey/Questionnaire,Career tasks secondary-completion,Which of the following secondary career tasks have you completed? ,Conducted an informational interview with professionals working in a job title that interests me (an informational interview is a conversation with someone working in a job that interests you to learn more about what they do),Conducted a second informational interview</strong> with a professional working in a job that interests me,Saved an internship or job posting</strong> that aligns with my interests,Wrote a cover letter tailored to a position that aligns with my interests (a cover letter is a document you sent with your resume that provides additional information about skills and experiences related to the position you're applying to),Wrote a second cover letter tailored to a position that aligns with my interests (a cover letter is a document you sent with your resume that provides additional information about skills and experiences related to the position you're applying to),"Created a complete LinkedIn profile(a complete LinkedIn profile includes a professional headshot, background photo, headline, about section, at least two experiences, your education, and three skills)",Conducted a mock interview (a mock interview is a practice interview that simulates an internship or job interview),Conducted a second mock interview(a mock interview is a practice interview that simulates an internship or job interview),Wrote a second resume tailored to a position</strong> that aligns with my interests,"Reached out to 20 professionals as part of the job search process (networking is the most effective way to land a job, and reaching out to a variety of professionals increases your chances of connecting to a position)",Applied to five jobs</strong>,"Created a reference sheet</strong> (a reference sheet is a list of three people who can speak to your skills and experience that includes their names, job titles, and contact information, which employers may ask for during the hiring process)",I haven't done any of the above just yet,,,,,,,
Level 3,Hard,Assessment/Evaluation,Survey/Questionnaire,Career tasks graduate school-completion,Which of the following career tasks have you completed to prepare for graduate school? (please select all that apply): ,Conducted an informational interview with a graduate school student,,Identified potential letter of recommendation writers,Cultivated a relationship with a professor and asked them to write me a letter of recommendation,Requested/obtained my letters of recommendation,Researched graduate school programs,Explored financial aid resources,Talked to a Compliance staff member about using athletic eligibility to attend graduate school,Signed up for/took required standardized tests,Wrote a statement of purpose,Ordered official transcripts,Submitted my graduate school applications,Applied for financial aid,Submitted federal and state financial aid applications,Visited prospective campuses,Spoke to faculty and students at prospective campuses,Spoke to faculty and students at prospective campuses,Sent in my acceptance and declined offers,Sent thank you notes to people who helped me,I haven't done any of the above just yet
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Applied-internships,"Within (time period), how many internships did you find on (system) that you applied to? ",0,1,2,3,4,5,6+,,,,,,,,,,,,,
