Levels,Hard/Soft Data,Type,Data Collection Method,Item,Item Stem,Anchors,,,,,,,,,,,,,,,
Isolation,Soft,Evaluation,Survey/Questionnaire,Participant/facilitator/expert estimates,"I estimate the (service) was _____[20, 65, 90%] of a factor in my (attribute).",1-100%,,,,,,,,,,,,,,,
Level 3,Soft,Assessment/Evaluation,Inventory,Leadership-behaviors ranking (SLPI),"Treats others with respect; Follows through on promises; Fosters cooperative relationships; Sets personal example; Paints ""big picture"" of group aspirations; Praises people; Actively listens; Looks ahead and communicates future; Provides support and appreciation; Makes certain that goals, plans, and milestones are set; Supports decisions other people make; Develops skills and abilities; Algins others with principles and standards; Encourages others; Gives people choice about how to do their work; Talks about vision of the future; Takes initiative in experimenting; Searches outside organization for innovative ways to improve; Describes ideal capabilities; Asks ""What can we learn?""; Publicly recognizes alignment with values; Communicates purpose and meaning; Shows others how their interests can be realized; Helps others take risks; Provides leadership opportunities; Builds consensus on values; Creatively recognizes people; Talks about values and principles; Celebrates accomplishments; Gets feedback about actions",Rarely or seldom,Once in a while,Sometimes,Often,Very frequently,,,,,,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership-significant displays with examples,"In what ways did you demonstrate significant leadership that affected a team or group from (time frame)? Check all that apply. A team or group can be athletic (e.g., your sport team), academic (e.g., class project), or in life (e.g., people in your community). ","I have not yet demonstrated leadership in this way, Sport, School, Life",Created a positive change that enhanced team performance,Positively impacted team's culture / climate,Led a team through a challenging time / situation,Made a sacrifice for the team at the expense of my own self-interest in pursuit of team goals,Initiated a program / project to serve others within the Cal Athletics Community,"Supported, empowered, or mentored a group member (e.g., teammate, peer) to help them better contribute to the team (e.g., equipped a struggling teammate to seek support)",Led and/or participated in an engagement group and/or extracurricular group,,,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Leadership-significant follow-up,"In 1 - 2 sentences, please describe one of the significant leadership example.",Open-ended,,,,,,,,,,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Transferable skills-application,The next set of prompts asks about your application of various skills acquired in sport that can be transferred to school and life. Please select all that apply for each skill. (Refocusing after distraction; Overcoming adversity; Performing under pressure; Accepting personal responsibility for things within my control; Teaching / Mentoring peers; Communicating effectively; Coachable; Following through; Prioritizing goals based on current needs; Problem-solving),"I am unsure if I applied this skill in sport, school, or life",I effectively applied this skill in school,I effectively applied this skill in life.,,,,,,,,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Relationship-staff member,"Please select the staff member(s) you have a relationship with (feel comfortable connecting with, would go to for support, etc.). Please select all that apply.",Name 1,Name 2,Name 3,Name 4,Name 5,etc.,,,,,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Selection-institution,How much of a factor was having access to the (unit) a part of your decision to attend (institution)?,High factor,Moderate factor,Minor factor,Not at all a factor,,,,,,,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Barriers to potential,What are the biggest challenges or barriers that hold you back from reaching your full potential and thriving at (institution)? Please select any that apply. Optional: Elaborate on areas we can impact.,Academic pressure or demands,(City) living conditions,Coaches,Culture of team,Factors outside of Cal,Financial challenges,Mental health & well-being,Physical health,Relationship challenges,Resource limitations,University if not a right fit for me,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Communication-avoiding difficult conversations,How often have you avoided having difficult conversations with others during the (time period)? ,A great deal,A moderate amount,Occasionally,Rarely,Never,,,,,,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Gratitude-expressions,"In a typical week, how often did you express gratitude in the following ways during (time period)? (Used the Gratitude Journal; Verbally expressed my gratitude about an experience; Verbally expressed my gratitude to the person I am grateful for; Wrote to another person (text messages, emails, thank you letter, etc.)",Every day,Almost every day,Sometimes,Occasionally,Rarely,Never,,,,,,,,,,
