Levels,Hard/Soft Data,Type,Data Collection Method,Item,Item Stem,Anchors,,,,,,,,,,
Level 4,Hard,Assessment/Evaluation,Survey/Questionnaire,Factors contributing to academic/athletic success,Below is a pie chart. Please indicate the factors and percentage they contribute to your success at (institution). The pie chart should equal 100%. The factors in the pie chart may include:,Program,Coaches,Mental Health,Nutrition,"Personal Habits (Sleep, priorities, etc.)",Professors,Academic Unit,Sports Medicine,Strength & Conditioning,"Support System (Parents/guardians, friends, partner, etc.)",Other________
Level 4,Hard,Performance Records,Online,Athletic performance-statistics,Top 3 athletic performance/success statistics for the sport and position.,Statistic 1,Statistic 2,Statistic 3,,,,,,,,
Level 4,Hard,Performance Records,Online,Athletic performance-awards,Which athletic awards/accolades have you earned in college or at your current institution from an organization?,National Champion-Team,National Champion-Individual,All-American,All-Region,All-Conference,"Conference Player of the Month, Week, etc.",,,,,
Level 4,Hard,Performance Records,Online,Academic performance-GPA,What is your cumulative grade point average (GPA)?,(Select from a sliding scale (2.0-4.0),,,,,,,,,,
Level 4,Hard,Performance Records,Online,Academic performance-GPA,Compare the GPAs of those in and out of the program,Retained,Transferred,Quit,Medical DQ,,,,,,,
Level 4,Hard,Performance Records,Online,Retention,What is the retention status of the student-athlete?,Retained,Transferred,Quit,Medical DQ,,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,Athletic performance-systematic reflection,How often do you engage in this systematic reflection process after your performances ,Always,Most of the time,About half of the time,Sometimes,Rarely,,,,,,
Level 3,Soft,Assessment/Evaluation,Survey/Questionnaire,"Athletic performance-Courage (Norton & Weiss, 2009; Howard & Alipour, 2014) adapted for sport-items 1, 3, 7, 9, 10, 11","Please carefully read each statement and rate how often you behaved in that way in your sport during the (time period) (I tend to face my fears in my sport; Even if I feel anxious in sport, I will stay in that situation until I have done what I need to do; I will do things in sport even though they seem to be risky; If I am worried or anxious about something in sport, I will do or face it anyway; If there is an important reason to face something that worries me in sport, I will face it; Even if something worries me in sport, I will not back down",Always,Most of the time,About half of the time,Sometimes,Never,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Athletic performance-rating,How would you rate your overall sport performance from (time period)?,Good,Somewhat good,Adequate,Somewhat poor,Poor,Terrible,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Athletic performance-rating before/after,"On a scale from 0-10, how would you rate your athletic performance BEFORE working with (practitioner) one-on-one this (timing)? (statistical performance, technical performance, tactical performance, effort, decision-making, reaction time, errors, deliberate practice, etc.) On a scale from 0-10, how would you rate your athletic performance AFTER all of the work you did with (practitioner) one-on-one?",Athletic Performance Before (0-10),Athletic Performance After (0-10),,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Athletic performance-mindset before/after,"On a scale from 0-10, how would you rate your mindset BEFORE working with (practitioner) this Spring 2023? (confidence, composure, concentration, present moment focus, motivation, commitment, resilience, competitiveness, mental preparation, mental flexibility, managing pressure or nerves, mental readiness to return from injury, transition to Cal or a new role, etc.) On a scale from 0-10, how would you rate your mindset AFTER all of the work you did with (practitioner) one-on-one?",Mindset Before (0-10),Mindset After (0-10),,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Athletic-sport experience before/after,"On a scale from 0-10, how would you rate your sport experience BEFORE working with (practitioner) one-on-one this Spring 2023? (sport enjoyment, relationships with team members, sport-school-life balance, coping with sport stress, etc.) On a scale from 0-10, how would you rate your sport experience AFTER all of the work you did with (practitioner) one-on-one?",Sport Experience Before (0-10),Sport Experience After (0-10),,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Mindset-team's before/after,"On a scale from 0-10, how would you rate your team's mindset BEFORE engaging in Team or Small Group Sessions with (practitioner) this Spring 2023? (team confidence, team composure, team concentration, team present moment focus, team motivation, team commitment, team resilience, team competitiveness, team mental preparation, team mental flexibility, team management of pressure or nerves, etc.) On a scale from 0-10, how would you rate your team's mindset AFTER engaging in all of the Team or Small Group sessions you did with (practitioner)?",Your Team's Mindset Before (0-10),Your Team's Mindset After (0-10),,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Culture-team's before/after,"On a scale from 0-10, how would you rate your team's culture BEFORE engaging in Team or Small Group sessions with (practitioner) this Spring 2023 (team leadership, team dynamics, team chemistry or trust, relationships, team communication, role clarity or contribution toward collective goals, etc.) On a scale from 0-10, how would you rate your team's culture AFTER engaging in all of the Team or Small Group sessions you did with (practitioner)?",Your Team's Culture Before (0-10),Your Team's Culture After (0-10),,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Gratitude (GQ-6),"Using the scale, write a number beside each statement to indicate how much you agree with it (I have so much in my life to be thankful for; If I had to list everything that I felt grateful for, it would be a very long list; When I look at the world, I don't see much to be grateful for; I am grateful to a wide variety of people; As I get older I find myself more able to appreciate the people, events, and situations that have been part of my life history; Long amounts of time can go by before I feel grateful to something or someone)",Strongly agree,Agree,Slightly agree,Neutral,Slightly disagree,Disagree,Strongly disagree,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Refocus after distraction,How quickly are you able to refocus in the present moment following distraction or mind wandering?,Extremely fast,Moderately fast,Slightly fast,Average,Slightly slow,Moderately slow,Extremely slow,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Refocus after distraction-retroactive,"In comparison to (time frame), how quickly are you currently able to refocus following distraction or mind wandering?",Extremely fast,Moderately fast,Slightly fast,Average,Slightly slow,Moderately slow,Extremely slow,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Sport-psychological flexibility (ACT),"I'm often able to view a situation in sport from multiple perspectives; The way in which I interpret a situation in sport is more important than the situation itself; In sport, I'm usually able to shift my perspective by choosing to focus on and do what matters most; I have the ability to perform at a high level in sport regardless of unpleasant thoughts, emotions, and sensations; I effectively navigate through changing demands in sport; I tend to view situations in sport in a rigid way; I usually try to avoid uncomfortable thoughts, emotions, and sensations in sport.",Strongly agree,Agree,Slightly agree,Slightly disagree,Disagree,Strongly disagree,,,,,
Level 2,Soft,Assessment,Survey/Questionnaire,Readiness (Stages of Change),"A mental performance consultant has expertise in helping athletes develop and use mental skills to optimize their mindset, performance, and experience in sport. For example, Dr. Graig Chow, Director of Mental Performance & Leadership Development within the Cameron Institute, is a Certified Mental Performance Consultant.  Please select the statement that best describes your current level of readiness to work with a mental performance consultant one-on-one:",I'm regularly working on my career development and have done so for longer than 6 months ,"I'm regularly working on my career development, but I have only begun doing so within the past 6 months","I'm not currently working on my career development, but I've taken some preliminary steps towards doing so ","I'm not currently working on my career development and have not taken any steps towards doing so, but I'm considering it in the future ",I'm not currently working on my career development and have no intention in doing so ,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Athletic performance-systematic reflection,"After competitions/practices, I have a systematic process for reflecting on my performance in order to learn from my successes and failures (post-event reflection, journaling, etc.) ",Yes,Somewhat,No,,,,,,,,
Level 2,Soft,Evaluation,Survey/Questionnaire,Coachability (ASCI-28 4-item),"Please recall as accurately as possible how often you experienced the same thing during the (time period). (a. If a coach criticizes or yells at me, I correct the mistake without getting upset about it, b. When a coach criticizes me, I become upset rather than helped, c. I improve my skills by listening carefully to advice and instruction from coaches, d. When a coach tells me how to correct a mistake I've made, I tend to take it personally and feel upset.",Almost always,Often,Sometimes,Almost never,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Beliefs-Athletic (Mindset),"The following questions ask about beliefs regarding athletic ability. (You have a certain amount of athletic ability, and you can't really do much to change it; Your athletic ability is something about you that you can't change very much; You can learn new things, but you can't really change your basic athletic ability)",Strongly agree,Agree,Mostly agree,Mostly disagree,Disagree,Strongly disagree,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Beliefs-Academic (Mindset),"The following questions ask about beliefs regarding academic ability. (You have a certain amount of academic ability, and you can't really do much to change it; Your academic ability is something about you that you can't change very much; You can learn new things, but you can't really change your basic academic ability)",Strongly agree,Agree,Mostly agree,Mostly disagree,Disagree,Strongly disagree,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Athletic performance-performing to full potential,What percentage (0 - 100%) of your full athletic potential do you feel you performed from (time period)? ,(0-100),,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Academic performance-performing to full potential,What percentage (0-100% of your full academic potential do you feel you performed during the (time period)? ,(0-100),,,,,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Athletic performance-commitment to excellence,Please indicate your level of sport commitment. (I am committed to excellence in my sport even when I'm not getting playing time; I am committed to excellence in my sport even when I don't have a strong relationship with my coach; I am committed to excellence in my sport even when other commitments or obligations are front and center; I am committed to excellence in my sport even when my expectations of the student-athlete experience are not being met; I am committed to excellence in my sport even when I'm not getting the results or outcomes I want I am committed to excellence in my sport even when I'm not performing to my academic expectations).,Very committed,Committed,Neutral,Uncommitted,Very uncommitted,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Athletic performance-coach commitment to excellence,How committed to excellence is (name) in sport? (I am committed to excellence in my sport even when I'm not getting playing time; I am committed to excellence in my sport even when I don't have a strong relationship with my coach; I am committed to excellence in my sport even when other commitments or obligations are front and center; I am committed to excellence in my sport even when my expectations of the student-athlete experience are not being met; I am committed to excellence in my sport even when I'm not getting the results or outcomes I want I am committed to excellence in my sport even when I'm not performing to my academic expectations).,Very committed,Committed,Neutral,Uncommitted,Very uncommitted,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Academics-commitment to excellence,Please indicate your level of academic commitment. (I am committed to excellence in my academics even when I'm not getting playing time; I am committed to excellence in my academics even when I don't have a strong relationship with my coach; I am committed to excellence in my academics even when other commitments or obligations are front and center; I am committed to excellence in my academics even when my expectations of the student-athlete experience are not being met; I am committed to excellence in my academics even when I'm not getting the results or outcomes I want; I am committed to excellence in my academics even when I'm not performing to my academic expectations).,Very committed,Committed,Neutral,Uncommitted,Very uncommitted,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Athletic performance-mentally prepared to perform,"How often were you mentally prepared to perform in sport from (time period)? (Always, Often, Sometimes, Rarely, Never)",Always,Often,Sometimes,Rarely,Never,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Role ambiguity scale-team (Beauchamp),The following items ask about your perceived role on your team (I understand all of the responsibilities that make up my role on my sport team; I accept all of the responsibilities that make up my role on my sport team; I am committed to performing all of the responsibilities that make up my role on my sport team; I fulfil all responsibilities specified by my role on my sport team),Strongly agree,Agree,Somewhat agree,Neutral-neither agree or disagree,Somewhat disagree,Disagree,Strongly disagree,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Coach culture-potential,The culture our coach creates within our team helps me perform to my full potential at (institution). ,Strongly agree,Agree,Slightly agree,Neither agree or disagree,Slightly disagree,Disagree,Strongly Disagree,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Coach relationship-quality (CART-Q),How would you rate the quality of your relationship with your head coach or position/event coach?,Good,Somewhat good,Somewhat poor,Poor,Very poor,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Coach relationship-strengthening (CART-Q),How interested are you in strengthening your relationship with your head coach or position/event coach? ,Very interested,Interested,Slightly interested,Slightly uninterested,Uninterested,,,,,,
Level 2,Soft,Assessment/Evaluation,Survey/Questionnaire,Athletic performance-Exclusivity (AIMS),Sport is the most important part of my life; I spend more time thinking about sport than anything else; Sport is the only important thing in my life,Strongly agree,Agree,Slightly agree,Neither agree or disagree,Slightly disagree,Disagree,Strongly Disagree,,,,
Level 2,Soft,Assessment,Survey/Questionnaire,NIL competency,"Please indicate your agreement with the following statements regarding Name, Image, and Likeness (NIL): I understand Athletic Department policies regarding NIL; I am aware of Athletic Department resources available to me related to NIL; I feel confident in my ability to build my personal brand; I need more education and/or support to find/respond to potential NIL business opportunities.",Strongly agree,Agree,Somewhat disagree,Disagree,Strongly disagree,,,,,,
Level 1,Soft,Evaluation,Survey/Questionnaire,Experience with Practitioner,"The following items refer to the (service) with (practitioner). Please rate (practitioner) on each of the following characteristics by using a number from 0 to 10 as seen on the scale below. (Seemed open, flexible, and ready to collaborate with me; Had a positive, helpful attitude; Proved to be trustworthy; Was easy for me to relate to [e.g., I felt comfortable and that they understood me]; Tried to help draw upon my strengths [e.g., the things that already worked for me] in order to manage challenges and make my performance more consistent; Tried to help me overcome possible problems, or weaknesses, in order to make my performance even better and more consistent; Provided clear, practical, concrete strategies for me to try out, in order to solve problems or improve my performance; Had useful knowledge about mental training that seemed to apply directly to my sport; Helped provide an individual mental training program, based on my input, needs, and goals; Provided sufficient time for individual meetings).",Not at all 0,1,2,3,4,5,6,7,8,9,"Yes, definitely 10"
Level 1,Soft,Assessment/Evaluation,Survey/Questionnaire,Success,"How influential is the (program) on your success (athletic, academic, personal) at (institution)?",Extremely influential,Very influential,Somewhat influential,Slightly influential,Not at all influential,,,,,,
Level 1 ,Soft,Evaluation-Program,Survey/Questionnaire,Net Promoter Score-NPS-service,"On a scale of 1-10, how likely are you to recommend the (service) to a teammate or another student-athlete?",1=Not at all likely,10=Extremely likely,,,,,,,,,
Level 1 ,Soft,Evaluation-Program,Survey/Questionnaire,Net Promoter Score-NPS-unit,"On a scale of 1-10, how likely are you to recommend the (unit) to a teammate or another student-athlete?",,,,,,,,,,,
